Email,Label
Congratulations! You've won $1,000,000 in our secret lottery! Click here to claim,1
Hi Sarah, Can we schedule a meeting for next Tuesday? Let me know your availability,0
Free money! Earn $5000 per week working from home. Limited time offer!,1
Hello, This is a reminder about your dentist appointment on Friday at 3 PM,0
URGENT: Your bank account has been compromised. Verify your credentials NOW,1
Thank you for your order. Your package will arrive within 3-5 business days,0
CLICK NOW to receive your FREE gift card worth $100,1
Dear Customer, We're updating our terms of service. Please review the changes,0
You have been selected as a finalist! Claim your prize immediately!,1
Meeting notes from yesterday's standup are attached. Please review,0
WIN FREE IPHONE NOW! Visit our website and enter to win,1
Hi Tom, I've attached the quarterly report. Can you review it by Friday?,0
Verify your PayPal account NOW to avoid suspension,1
Your flight confirmation number is 12345. Safe travels!,0
EXCLUSIVE OFFER: Get 70% off all items this weekend only!,1
Hi Lisa, Thanks for the coffee yesterday. Let's grab lunch next week,0
CLICK HERE to double your bitcoin investment!,1
Password reset request for your email account,0
Free Netflix subscription for life! Click to activate,1
I've finished the project proposal. Can you schedule time to discuss?,0
LIMITED TIME: Become a millionaire in 30 days!,1
Your Amazon order #12345 has been dispatched and will arrive tomorrow,0
CLAIM YOUR FREE PRIZE WORTH $500!,1
The meeting has been rescheduled to Wednesday at 2 PM instead,0
Unbelievable opportunity! Make $10000 monthly from home,1
Hi everyone, Please find attached the agenda for tomorrow's meeting,0
You've been pre-approved for a personal loan of $50,000!,1
Your recent purchase confirmation and receipt are attached,0
CONGRATULATIONS! You are our lucky winner!,1
Can you send me the updated budget spreadsheet?,0
Click here for a chance to win a luxury vacation,1
Please submit your time sheet by EOD Friday,0
FREE MONEY! Receive $1000 gift cards instantly,1
Your vaccine appointment is scheduled for next Saturday at 10 AM,0
Work from home and earn $500 daily! No experience needed,1
The presentation slides have been updated on the shared drive,0
GET RICH QUICK SCHEME! Join now and start earning,1
Your package delivery was delayed due to weather,0
Verify your credit card information to continue,1
Meeting confirmed for tomorrow at 10 AM in Conference Room B,0
EXCLUSIVE: Get luxury items at 80% discount!,1
Hi Michael, Can you review the code changes I pushed yesterday?,0
You are a lucky winner of our online sweepstakes!,1
Your car insurance policy renewal is due next month,0
UNBLOCK YOUR ACCOUNT NOW! Limited time offer,1
The project deadline has been extended to next month,0
Free casino chips! Play and win real money,1
Your electricity bill is now available online,0
CLICK NOW to receive your tax refund instantly!,1
Thanks for attending the conference. Here are the session recordings,0
Free credit repair service! Call now,1
Your Netflix password was changed. If this wasn't you, reset it,0
LIMITED SEATS: Enroll in our exclusive training for only $99,1
Can you provide the latest sales figures for review?,0
You have inherited $5 million from a distant relative!,1
Your appointment reminder: Dr. Johnson on Friday at 2 PM,0
URGENT! Act now or lose your chance forever,1
The quarterly earnings report is ready for review,0
Free weight loss pills! Lose 30 pounds in 30 days,1
Your flight has been confirmed. Details are attached,0
REGISTER NOW for our exclusive webinar on financial freedom,1
Hi David, Just checking in on the status of the project,0
You qualify for a FREE mortgage refinance,1
The team lunch will be at noon on Friday,0
Get FREE casino bonus codes! No deposit required,1
Your doctor's appointment is confirmed for next week,0
AMAZING OPPORTUNITY: Start your own business today!,1
Meeting minutes from yesterday's discussion are attached,0
Free vacation! Win an all-expense paid trip,1
Your insurance claim has been approved,0
MAKE MONEY FAST! Online jobs available now,1
Please update your LinkedIn profile information,0
Free credit score report! Check your score today,1
Your delivery has arrived. Collect it from the reception,0
CLAIM YOUR FREE BONUS! Join now and get started,1
The maintenance window will be on Sunday night from 2-4 AM,0
You have won a prize! Claim it immediately,1
Your hotel reservation confirmation is attached,0
JOIN NOW and start making money within 24 hours!,1
The conference call is scheduled for tomorrow at 3 PM,0
